Company,Review Title,Rating,Work-Life Balance,Culture and Values,Diversity and Inclusion,Career opportunities,Compensation and Benefits,Senior Management,Reviewer Role,Employee Status,City,State,Duration of Employment,Review Date,Pros,Cons,Recommend,CEO Approval,Business Outlook
Apple,good job,5.0,5,5,5,5,5,5,Specialist ,Former Employee,Greenwich,CT,more than 1 year,2023-01-24,"great culture, great benefits, great training","don't have too many cons, good job overall",Yes,Approve,Good
Apple,"Challenging, Rewarding,  but ZERO  work/life balance.   Most satisfying ,   most difficult and most  rewarding job ever.",4.0,1,3,N/A,3,3,3,Anonymous Employee ,Current Employee,,,more than 10 years,2014-08-28,"We work with geniuses - in every department,   We create innovative products that thrill our customers and create new product categories -  who else can say that?","ZERO   ZERO   ZERO   work/life balance.   Execs have been saying for YEARS that they understand and will make it better.  But in actuality,  it gets worse every year!  It is obviously top management LIP SERVICE because if they meant it,  they could fix it tomorrow.   They have hundreds of BILLIONS in the bank.   If they REALLY cared about employee work/life balance,  they could bring aboard the right number of folks to make that issue dissolve.   Sick of hearing the lies.   Just don't lie about wanting to fix it,  when they clearly DON'T care",Yes,Approve,Good
Apple,At-Home-Advisor,5.0,3,5,N/A,5,4,5,Home Advisor ,Current Employee,Lakewood,CO,more than 1 year,2015-05-13,"The position is at home. The company is AMAZING. There are limitless advancement opportunities. You work with some very cool people and the leadership cares about your development. You may get coaching but you never get battered or belittled. The pay is decent and the benefits include, 401(k) match, stock purchase options, product discounts and discounts on services across many different areas, education assistance, child care assistance, paid vacation, sick time and other time off options, health club Reimbursment or bike cost set off. You get 1.5 time for OT and it's pretty much unlimited as long as you don't exceed 12 hours in a day or 59 total in a week.",The schedule changes every 90 days and you have to bid for your shifts so you never know what you are going to get. This makes it extremely hard to plan your life to far in advance. You are also pretty much assured to work a Saturday or Sunday.,No answer,No answer,No answer
Apple,Changing the world (in a small way),5.0,3,4,N/A,5,5,5,Software Engineer IV ,Current Employee,Cupertino,CA,more than 5 years,2016-01-22,"Working at Apple means that the things you work on get into the hands of hundreds of millions of people, literally. It's a lot of pressure to get things right and drives one to do the best work of their lives. 2+ years later I'm still blown away by the talent and creativity of people I work with.","It's a lot of work, teams are usually strapped for resources and under pressure to deliver on strict timelines leading to high stress and long hours at certain times during the year.",Yes,Approve,Good
Apple,A Company as Meticulous as Their Products!,5.0,4,5,N/A,5,4,5,Specialist ,Current Employee,Tempe,AZ,more than 1 year,2017-03-10,"Competitive Pay, Great Benefits, Amazing People, Great Work, Awesome Opportunities, Excellent Experiences, Great atmospheres in a beautiful store, no matter where you're working!",None! I had one of the best times ever at this company. Hopefully I stay to go on to corporate!,Yes,Approve,Good
Apple,Amazing company culture,5.0,4,5,4,5,5,5,Content Strategist ,Current Employee,,,more than 8 years,2023-01-24,No company is 100% perfect but Apple really strives to walk the talk on culture and values. In my 9 years there I’ve had very supportive managers and a lot of opportunity for growth. And I’m proud to work for a company that is trying to put good into the world.,"Apple has decided not to embrace remote-work culture, and they’re already losing good people because of that.",Yes,Approve,Good
Apple,The most employee-friendly company I have worked for,5.0,4,5,5,4,5,5,Sales Specialist ,Current Employee,Santa Clara,CA,more than 1 year,2023-01-18,"I know it's retail, but Apple is very well-focused on customer experience and employees. It provides many benefits and a higher wage than any place with so much care for its employees. Great workplace if you love exposure to ambiguity, new changes, and challenges. Working with customers can be stressful,","Work-life balance: weekends, holidays since it's retail Sometimes, too many changes in a short duration of time Feedback culture, but rarely teaches employees to provide/receive feedback.",Yes,Approve,Good
Apple,good,4.0,4,4,4,4,4,4,SRE/DevOps Engineer ,Current Employee,Raleigh,NC,,2023-01-21,"Some pros of working at Apple include the opportunity to work on cutting-edge technology and products, a strong company culture and brand, competitive compensation and benefits, and potential for career advancement. Additionally, many employees report a positive work-life balance and a supportive and collaborative work environment.","Some potential cons of working at Apple include a competitive and fast-paced work environment, which can be stressful for some employees. Additionally, there may be a high expectation for secrecy and confidentiality, which can make it difficult to share information or collaborate with others outside the company. Some former employees also reported feeling micromanaged or having limited autonomy in their work. Additionally, some employees may find the company culture to be exclusive or insular, and may not feel that they fit in with the company's values and way of working.",Yes,Approve,Good
Apple,Experience @ Apple,5.0,N/A,N/A,N/A,5,N/A,N/A,Software Engineer ,Current Employee,New York,NY,less than 1 year,2022-12-28,"Innovative and dynamic work environment: Apple is known for being at the forefront of technology and innovation, and this is reflected in the company's work environment. Employees at Apple have the opportunity to work on cutting-edge projects and products that are shaping the future. Great benefits: Apple offers a range of benefits to its employees, including health insurance, 401(k) matching, and employee discounts on Apple products. Employee development: Apple places a strong emphasis on employee development and provides a range of resources and opportunities for employees to learn and grow in their careers.","High expectations: Apple is known for having high expectations for its employees, which can lead to a demanding work environment. Long hours: Depending on the role, working at Apple may require long hours, including evenings and weekends. Competition for promotions: Because Apple is a highly sought-after employer, there may be competition for promotions and opportunities for advancement within the company.",Yes,Approve,Good
Apple,Great Job,5.0,5,5,5,5,5,5,Technical Specialist ,Current Employee,Thousand Oaks,CA,,2023-01-19,Flexible Scheduling Amazing Team Learning / Growth Opportunities,Can get overwhelming during holidays,No answer,No answer,No answer
Apple,Best job,5.0,5,5,5,5,5,5,Tier I Technical Support ,Former Employee,,,,2023-01-20,The Mac computers we got alone were worth it,It's intense and very knowledge based,No answer,No answer,No answer
Apple,Good Job,5.0,5,5,5,5,5,5,Software Tester ,Current Employee,,,,2023-01-20,Culture Atmosphere Pay Benefits Ceo,Schedule Work-life-balance Time off Responsibilities Early start,No answer,No answer,No answer
Apple,Pay,5.0,5,5,5,5,5,5,Technical Support ,Current Employee,Fort Lauderdale,FL,,2023-01-19,I love to Work from home,No cons from me great organization,No answer,No answer,No answer
Apple,N/A,5.0,5,5,5,5,5,5,IT Specialist ,Former Employee,,,,2023-01-19,I love Apple and its culture.,There are no cons for Apple.,No answer,No answer,No answer
Apple,Great Value for Work Company,5.0,4,4,5,4,5,4,Technical Expert ,Current Employee,Boston,MA,more than 3 years,2023-01-17,"Great benefits along with a very good overall working environment that tries to minimize burnout. Compensation is very high compared to similar jobs in the field, especially for retail.","Nothing Apple can really control, but there tends to be a lot of employees with inflated egos as you move up in the company. It’s mostly manageable, but it’s sometimes becomes frustrating to deal with.",Yes,Approve,Good
Apple,Great opportunity,5.0,4,5,5,4,5,5,Product Specialist ,Current Employee,,,,2023-01-17,"Great benefits, flexibility, and environment. Get to help everyday users become more productive.",Very competitive when applying to other roles within company.,Yes,Approve,Good
Apple,Amazing,5.0,3,5,5,5,4,5,Product Specialist ,Current Employee,Austin,TX,more than 3 years,2023-01-17,Plenty of room to grow within the company. A ton of resources to help you grow.,Work/Life balance. No commission on the products you sell.,Yes,Approve,Good
Apple,"Great retail job, but don't expect much growth or support from management",3.0,4,2,5,3,4,1,Specialist ,Former Employee,San Francisco,CA,,2023-01-20,"Stock options, benefits, health insurance, employee discounts for part time employees","Despite the credo saying ""our soul is our people"", management doesn't care about you and their response to COVID and their employees validated that. Management was quick to gaslight employees and sweep issues under the rug when brought up. If an issue was brought up in a public forum, they would address it in private so it would be easier to ignore.",No,No answer,Bad
Apple,Things could be better at Apple,3.0,3,3,4,3,3,3,Senior Technical Advisor ,Current Employee,,,,2023-01-09,Great benefits Great environment when you first get to the company but quickly burn out. 2023 Apple started offering Coursera training for all employees free.,There is a disconnection with the higher ups and the folks in the front line. No clear path for growth within.,Yes,Indifferent,Neutral
Apple,Best place I’ve ever worked,5.0,5,5,5,5,5,5,Social Media Specialist ,Current Employee,Elk Grove,CA,more than 3 years,2023-01-15,"Best place I’ve worked, they really care about the employees and our personal growth. They want us to succeed",Sometimes higher positions are taken by people who held those positions in other companies.,Yes,Approve,Good
Apple,Great Company,5.0,5,5,5,5,5,5,3D Environment Artist ,Former Employee,New York,NY,less than 1 year,2023-01-20,Great Company To Use Thier Macbook,Do not Use Windows Laptops,Yes,Approve,Good
Apple,Good company,5.0,5,5,5,5,5,5,Customer Service Representative (CSR) ,Current Employee,,,,2023-01-21,Pretty nice company to work for,I don't have anything negative to say,No answer,No answer,No answer
Apple,"Great benefits, not a high quality of life",2.0,1,1,4,4,3,1,Genius Administrator ,Former Employee,Denver,CO,more than 1 year,2023-01-10,- Building a strong resume and understanding for logistics procedures - Stock options - Learning and development opportunities if you work hard - Lots of upward growth potential,"- Work life balance is difficult and management will define your quality of life - Poor treatment when an emergency surgery was needed, even after a spotless employee record - You have to buy into the culture to be successful here - The idea of Apple and what they believe is a lot different than how they take action with their beliefs and ideals. This is very visible with the way employees are treated.",No,Indifferent,Good
Apple,Apple retail team,5.0,4,5,5,3,4,4,Product Specialist ,Current Employee,Philadelphia,PA,more than 1 year,2023-01-20,-great benefits -employee stock program -career experiences within the retail space,-scaling up sometimes can be stagnant,Yes,Approve,No answer
Apple,Working,5.0,5,5,5,5,5,5,Specialist ,Former Employee,Tucson,AZ,more than 5 years,2023-01-20,Really liked good working there,No cons for this job,Yes,Approve,Good
Apple,Undervalued,2.0,1,1,4,1,2,1,Team Lead ,Current Employee,Bellevue,WA,more than 3 years,2023-01-19,"Good benefits, great coworkers and team","Terrible customer experiences, bad scheduling, raises are a joke and never are more than a few cents for every employee, team memebers feel undervalued and there is an extreme disconnect from corporate and senior management. Seniors managers make double the salary of leads and managers to do the least amount of work.",No,Disapprove,Bad
Apple,It was the best part time job,5.0,5,5,5,5,5,5,Specialist ,Current Employee,,,,2023-01-17,"Good benefit, good salary, good company value and the people actually cared.","Busy, there were customers that are rude time to time",No answer,No answer,No answer
Apple,Was fun,5.0,5,5,5,5,5,5,Software Engineer ,Former Employee,,,,2023-01-12,"Amazing, I wouldn’t trade it",Not as great as I expected,No answer,No answer,No answer
Apple,Company Review,5.0,5,5,5,5,5,4,Apple Genius ,Former Employee,,,more than 3 years,2023-01-13,Great culture and has the best benefits.,At the end of the day it’s a retail job.,Yes,Approve,Good
Apple,Great Place to work,5.0,5,5,5,5,5,5,Product Zone Specialist ,Current Employee,,,more than 1 year,2023-01-13,Great benefits and pay at Apple,The scheduling is a little spontaneous,Yes,Approve,Good
Apple,Great place to be supported and mentored,5.0,3,5,5,5,4,4,Technical Project Manager ,Current Employee,,,,2023-01-06,Company takes a lot of pride in the wellbeing and success of its employees. They focus on mentorship of key talent and going the extra mile to care for its employees.,Work-life balance is difficult pending which LOB you are in. A 40-hour work week is probably pretty hard to come by.,Yes,Approve,Good
Apple,good,5.0,5,5,5,5,5,5,SDE-intern ,Former Employee,Cupertino,CA,,2023-01-11,"well paid, free apartment near the company",It is good over all,No answer,No answer,No answer
Apple,Very good,5.0,1,5,5,3,4,3,Training Manager ,Former Employee,,,,2023-01-11,Learn a lot from smart people,No life work balance at all,Yes,Approve,Good
Apple,Good Place to Start,5.0,2,4,5,5,5,3,Apple Genius ,Former Employee,,,more than 3 years,2023-01-11,Good people in retail level - opportunities to learn,Strict with time management - not flexible on work life balance,Yes,Approve,Good
Apple,Loved it,5.0,5,5,5,5,5,5,Product Manager ,Former Employee,Cupertino,CA,,2023-01-12,"Great place; innovation, smart people all around","Intense, long works depending on your group, not much bottoms up decision making",No answer,No answer,No answer
Apple,Genius,5.0,4,4,4,4,4,4,Apple Genius ,Current Employee,China,TX,more than 8 years,2023-01-12,"customer service,provide full solution,make sure the customer journey goes well.","product solutions,include hardware and software,",Yes,Indifferent,Neutral
Apple,Research Assistant,5.0,4,4,4,5,3,3,Research Assistant ,Former Employee,,,,2023-01-12,Great support for undergraduates interested in research!,The amount of structure and mentorship throughout the research process is highly dependent on the lead PI/PhD student.,Yes,No answer,No answer
